race_id,year,JyoCD,se_runner_rows,o1_runner_rows,ra_toroku_tosu,ra_syusso_tosu,o1_toroku_tosu,o1_syusso_tosu,missing_o1_rows,valid_tan_rows,has_count_anomaly
2017102908040911,2017,08,13,13,13,12,13,12,0,12,1
2017110303030109,2017,03,11,11,11,10,11,10,0,10,1
2017110508050210,2017,08,8,8,8,7,8,7,0,0,1
2017110508050211,2017,08,16,16,16,15,16,15,0,0,1
2017111105050301,2017,05,14,14,14,13,14,13,0,0,1
2017111108050312,2017,08,16,16,16,15,16,15,0,15,1
2017111203030411,2017,03,16,16,16,15,16,15,0,0,1
2017111208050412,2017,08,18,18,18,17,18,17,0,0,1
2017111808050509,2017,08,14,14,14,13,14,13,0,13,1
2017111903030604,2017,03,14,14,14,13,14,13,0,0,1
2017111908050601,2017,08,14,14,14,13,14,13,0,0,1
2017120207040103,2017,07,16,16,16,15,16,15,0,0,1
2017120307040208,2017,07,18,18,18,17,18,17,0,17,1
2017120307040211,2017,07,16,16,16,15,16,15,0,15,1
2017120907040307,2017,07,16,16,16,15,16,15,0,0,1
2017121007040403,2017,07,16,16,16,15,16,15,0,0,1
2017121009050403,2017,09,17,17,17,16,17,16,0,16,1
2017121009050409,2017,09,10,10,10,9,10,9,0,9,1
2017121707040607,2017,07,17,17,17,16,17,16,0,0,1
2017122806050905,2017,06,16,16,16,15,16,15,0,15,1
2017122809050902,2017,09,16,16,16,15,16,15,0,15,1
2017122809050908,2017,09,18,18,18,17,18,17,0,17,1
2018010606010110,2018,06,9,9,9,8,9,8,0,0,1
2018010706010202,2018,06,16,16,16,15,16,15,0,0,1
2018010806010304,2018,06,10,10,10,9,10,9,0,9,1
2018011307010106,2018,07,16,16,16,15,16,15,0,0,1
2018011407010201,2018,07,12,12,12,11,12,11,0,0,1
2018011408010508,2018,08,10,10,10,9,10,9,0,0,1
2018012008010609,2018,08,12,12,12,11,12,11,0,11,1
2018012107010408,2018,07,16,16,16,15,16,15,0,0,1
2018012107010410,2018,07,15,15,15,14,15,14,0,0,1
2018012108010710,2018,08,14,14,14,13,14,13,0,0,1
2018012708020112,2018,08,16,16,16,15,16,15,0,0,1
2018012805010210,2018,05,11,11,11,10,11,10,0,0,1
2018012805010211,2018,05,14,14,14,13,14,13,0,0,1
2018020305010304,2018,05,14,0,14,0,,,14,0,1
2018020305010312,2018,05,16,16,16,14,16,14,0,0,1
2018020308020302,2018,08,9,9,9,8,9,8,0,0,1
2018020308020307,2018,08,12,12,12,11,12,11,0,0,1
2018021008020501,2018,08,16,16,16,15,16,15,0,0,1
2018021010010101,2018,10,16,16,16,15,16,15,0,0,1
2018021108020602,2018,08,14,14,14,13,14,13,0,13,1
2018021108020612,2018,08,15,15,15,14,15,14,0,14,1
2018021210010201,2018,10,16,0,16,0,,,16,0,1
2018021210010202,2018,10,14,0,14,0,,,14,0,1
2018021210010203,2018,10,18,0,18,0,,,18,0,1
2018021210010204,2018,10,15,0,15,0,,,15,0,1
2018021210010205,2018,10,17,0,17,0,,,17,0,1
2018021210010206,2018,10,16,0,16,0,,,16,0,1
2018021210010207,2018,10,16,0,16,0,,,16,0,1
2018021210010208,2018,10,18,0,18,0,,,18,0,1
2018021210010209,2018,10,18,0,18,0,,,18,0,1
2018021210010210,2018,10,18,0,18,0,,,18,0,1
2018021210010211,2018,10,16,0,16,0,,,16,0,1
2018021210010212,2018,10,18,0,18,0,,,18,0,1
2018021705010707,2018,05,16,16,16,15,16,15,0,0,1
2018021708020712,2018,08,16,16,16,15,16,15,0,0,1
2018021805010810,2018,05,12,12,12,11,12,11,0,0,1
2018021805010812,2018,05,16,16,16,15,16,15,0,0,1
2018021808020810,2018,08,8,8,8,7,8,7,0,0,1
2018022406020102,2018,06,16,16,16,15,16,15,0,15,1
2018022406020111,2018,06,16,16,16,15,16,15,0,0,1
2018030310010701,2018,10,14,14,14,13,14,13,0,0,1
2018030310010706,2018,10,14,14,14,13,14,13,0,0,1
2018030310010711,2018,10,16,16,16,15,16,15,0,0,1
2018031006020501,2018,06,14,14,14,13,14,13,0,0,1
2018031009010512,2018,09,13,13,13,12,13,12,0,12,1
2018031707020312,2018,07,16,16,16,15,16,15,0,0,1
2018031709010708,2018,09,16,16,16,15,16,15,0,15,1
2018031709010710,2018,09,16,16,16,15,16,15,0,15,1
2018031806020809,2018,06,12,12,12,11,12,11,0,11,1
2018031807020408,2018,07,12,12,12,11,12,11,0,11,1
2018031809010801,2018,09,16,16,16,15,16,15,0,15,1
2018032406030102,2018,06,16,16,16,15,16,15,0,0,1
2018032407020506,2018,07,16,16,16,15,16,15,0,15,1
2018032409020104,2018,09,18,18,18,17,18,17,0,17,1
2018032409020110,2018,09,12,12,12,11,12,11,0,11,1
2018032409020112,2018,09,12,12,12,11,12,11,0,11,1
2018032507020602,2018,07,16,16,16,15,16,15,0,15,1
2018032507020607,2018,07,18,18,18,17,18,17,0,17,1
2018033106030307,2018,06,10,10,10,9,10,9,0,9,1
2018040706030512,2018,06,16,16,16,14,16,14,0,14,1
2018040709020505,2018,09,16,16,16,15,16,15,0,15,1
2018040709020512,2018,09,16,16,16,15,16,15,0,15,1
2018040806030607,2018,06,16,16,16,15,16,15,0,0,1
2018040809020611,2018,09,18,18,18,17,18,17,0,0,1
2018041506030807,2018,06,16,16,16,15,16,15,0,15,1
2018042805020308,2018,05,16,16,16,15,16,15,0,0,1
2018042805020310,2018,05,16,16,16,15,16,15,0,0,1
2018050505020503,2018,05,14,14,14,12,14,12,0,0,1
2018050508030501,2018,08,16,16,16,15,16,15,0,15,1
2018050508030505,2018,08,18,18,18,17,18,17,0,17,1
2018050508030507,2018,08,15,15,15,14,15,14,0,14,1
2018050608030609,2018,08,8,8,8,7,8,7,0,0,1
2018051205020701,2018,05,16,16,16,15,16,15,0,0,1
2018051205020708,2018,05,16,16,16,15,16,15,0,0,1
