data_split,bin_type,bin_id,lower_bound,upper_bound,count,mean_pred_probability,actual_rate,calibration_gap,target,feature_set
latest_holdout,quantile,7,0.07220416496224881,0.10323435809229144,2127,0.08658982875333905,0.10390220968500236,0.017312380931663304,win,market_aware
latest_holdout,quantile,8,0.10328278830130166,0.16555747431729081,2128,0.13113963071303905,0.13956766917293234,0.008428038459893289,win,market_aware
latest_holdout,quantile,9,0.16568673540490023,0.7448362761462713,2127,0.2563540242398453,0.2693935119887165,0.013039487748871204,win,market_aware
validation,fixed_width,0,0.0034374114031672162,0.09998582338989562,14482,0.056840850751948106,0.05296229802513465,-0.003878552726813457,place,market_free
validation,fixed_width,1,0.10000243683520865,0.1999857088967656,12589,0.1461055883797809,0.15148145206132338,0.00537586368154247,place,market_free
validation,fixed_width,2,0.2000042545998229,0.2999546782139667,8128,0.2466429401444019,0.2679625984251969,0.021319658280794962,place,market_free
validation,fixed_width,3,0.3000099860992335,0.3999723880631205,5140,0.3463286275605714,0.37042801556420235,0.024099388003630928,place,market_free
validation,fixed_width,4,0.40000045612662816,0.49999018126013217,3262,0.44600751187627347,0.46689147762109134,0.02088396574481788,place,market_free
validation,fixed_width,5,0.5001313729490457,0.5999949389027818,1911,0.5442989773381203,0.5782312925170068,0.03393231517888651,place,market_free
validation,fixed_width,6,0.6000552796422169,0.6998839191986657,895,0.6432834733261343,0.6793296089385474,0.0360461356124131,place,market_free
validation,fixed_width,7,0.7001095183943111,0.7988007722699166,301,0.7346343655460856,0.8106312292358804,0.07599686368979475,place,market_free
validation,fixed_width,8,0.8003404453553687,0.8738775542044706,44,0.8233562511713953,0.8636363636363636,0.04028011246496832,place,market_free
test,fixed_width,0,0.003175664025776881,0.09999525382273936,15850,0.056427741531325404,0.056277602523659306,-0.00015013900766609745,place,market_free
test,fixed_width,1,0.10000093971521504,0.1999917020766066,12761,0.14602550373627735,0.16425045059164642,0.018224946855369073,place,market_free
test,fixed_width,2,0.2000317494240076,0.2999830464924994,7887,0.24575295974396805,0.26321795359452266,0.01746499385055461,place,market_free
test,fixed_width,3,0.3000360342130936,0.39999577689060684,5024,0.3454278281550835,0.3801751592356688,0.03474733108058531,place,market_free
test,fixed_width,4,0.40000506900068433,0.4999343652535021,3106,0.4456653958242664,0.47907276239536384,0.03340736657109744,place,market_free
test,fixed_width,5,0.5000022497763155,0.5999571700927981,1751,0.5459213469798755,0.5870930896630497,0.04117174268317425,place,market_free
test,fixed_width,6,0.6000173524402939,0.6997585364824693,831,0.6423171223386951,0.6690734055354994,0.026756283196804342,place,market_free
test,fixed_width,7,0.700169539586401,0.7962944112864625,258,0.7382294719689247,0.7906976744186046,0.05246820244967987,place,market_free
test,fixed_width,8,0.8014175170002786,0.8949095577068502,29,0.8301690331430068,0.896551724137931,0.06638269099492422,place,market_free
latest_holdout,fixed_width,0,0.0022407325328682877,0.09999273797107826,7772,0.054866601049373714,0.050051466803911475,-0.0048151342454622395,place,market_free
latest_holdout,fixed_width,1,0.10000185344387989,0.19996619722213307,5539,0.14564495479237857,0.15724860083047482,0.011603646038096244,place,market_free
latest_holdout,fixed_width,2,0.20002294151361472,0.29992076237683524,3189,0.2469869495365058,0.2910003135779241,0.04401336404141831,place,market_free
latest_holdout,fixed_width,3,0.30007557570713717,0.3998904251757826,2056,0.3471233904716545,0.384727626459144,0.037604235987489465,place,market_free
latest_holdout,fixed_width,4,0.40014863159549763,0.49993940032011436,1330,0.4461115671570058,0.49097744360902257,0.044865876452016784,place,market_free
latest_holdout,fixed_width,5,0.5000066479725542,0.5998917533680636,799,0.5442043246090246,0.574468085106383,0.03026376049735846,place,market_free
latest_holdout,fixed_width,6,0.6000327037242653,0.6999743760560271,435,0.6433753641304262,0.6528735632183909,0.009498199087964676,place,market_free
latest_holdout,fixed_width,7,0.700257074804266,0.7999048492384946,147,0.7379850049295026,0.7959183673469388,0.057933362417436185,place,market_free
latest_holdout,fixed_width,8,0.8016581133140993,0.8378957793271297,9,0.8187276046004199,0.8888888888888888,0.0701612842884689,place,market_free
validation,quantile,0,0.0034374114031672162,0.042839553426983396,4676,0.027952907007605655,0.020744225834046195,-0.00720868117355946,place,market_free
validation,quantile,1,0.04284701341156233,0.06923116766740167,4675,0.055666610261922975,0.04855614973262032,-0.007110460529302656,place,market_free
validation,quantile,2,0.06923715952194322,0.09712786231831183,4675,0.08284418803392332,0.08598930481283422,0.0031451167789108975,place,market_free
validation,quantile,3,0.09713085177483183,0.12872758231983228,4675,0.11241986402232924,0.10909090909090909,-0.0033289549314201583,place,market_free
validation,quantile,4,0.12873522703037057,0.16545897942497567,4675,0.1465265877498394,0.15315508021390375,0.006628492464064356,place,market_free
validation,quantile,5,0.16546306939299762,0.21037158711068543,4676,0.18707273895215593,0.20209580838323354,0.015023069431077618,place,market_free
validation,quantile,6,0.2103752362716127,0.2652422468335891,4675,0.23661675037110302,0.25625668449197864,0.019639934120875613,place,market_free
validation,quantile,7,0.2652465290850847,0.3378760068433446,4675,0.2990172827091456,0.32,0.02098271729085438,place,market_free
validation,quantile,8,0.33787672103884425,0.44741211029745237,4675,0.38812036707281694,0.4160427807486631,0.027922413675846136,place,market_free
validation,quantile,9,0.44744098416985273,0.8738775542044706,4675,0.5547238946968489,0.585668449197861,0.030944554501012078,place,market_free
test,quantile,0,0.003175664025776881,0.040438785295473435,4750,0.026752445551282658,0.02273684210526316,-0.004015603446019499,place,market_free
test,quantile,1,0.04044575143760921,0.0642521306641329,4750,0.05240363913711266,0.05136842105263158,-0.0010352180844810863,place,market_free
test,quantile,2,0.06425243139194489,0.09012834602754281,4750,0.07710519444104545,0.08252631578947368,0.005421121348428232,place,market_free
test,quantile,3,0.09014066027927818,0.12025922375795989,4749,0.1049515889973609,0.11139187197304695,0.006440282975686051,place,market_free
test,quantile,4,0.12026765079561356,0.1567406296682907,4750,0.13753277607612452,0.15747368421052632,0.019940908134401802,place,market_free
test,quantile,5,0.15674796737643595,0.19873811650132736,4750,0.17716704863731503,0.20021052631578948,0.02304347767847445,place,market_free
test,quantile,6,0.19874749802789327,0.2523327403672609,4749,0.22460349085200784,0.24468309117708992,0.020079600325082075,place,market_free
test,quantile,7,0.25233491775227757,0.3242265558321656,4750,0.286634755947261,0.30757894736842106,0.020944191421160052,place,market_free
test,quantile,8,0.32425129828349125,0.4332945008484334,4750,0.37422179845050024,0.4048421052631579,0.03062030681265765,place,market_free
test,quantile,9,0.43332693621315915,0.8949095577068502,4749,0.5430094420170094,0.5807538429142978,0.037744400897288366,place,market_free
latest_holdout,quantile,0,0.0022407325328682877,0.03663476586856876,2128,0.0242325293606442,0.015037593984962405,-0.009194935375681796,place,market_free
latest_holdout,quantile,1,0.03664463900429563,0.05797988583126917,2128,0.04731228166535584,0.041353383458646614,-0.005958898206709223,place,market_free
